,price
39657,5991
7944,11998
62680,3990
12029,25450
37299,11390
61374,6995
40953,16995
63032,28880
58031,7995
52938,26980
59205,14398
16833,26999
66849,9200
53200,11700
43067,21998
17325,9492
30099,4495
19300,17990
20805,19990
72820,6995
61614,15990
73374,10990
53856,12399
31253,7680
59241,10498
5517,16995
47124,7200
44990,7680
3231,22980
26434,12999
35488,11991
33734,14298
55247,12798
42020,9995
11955,25160
9135,10200
26458,29299
23948,9991
7568,31000
34295,20495
60790,57991
75952,14990
27567,27249
17989,31990
20629,8250
72598,34368
61246,21714
62375,8794
9362,20000
58980,10800
47324,8999
50688,15411
48486,9930
18743,18890
38796,8500
29128,41949
29674,26350
53808,23980
16467,9490
11307,14307
70291,33946
25519,17336
7618,14998
42021,19490
9100,7450
12211,47995
45461,10495
15480,16958
6623,22899
14235,13000
25768,22475
3329,10979
17387,23490
66685,5290
35632,11499
34520,19895
33058,9490
38424,10389
67769,16250
73992,19401
33488,20498
14544,10689
70996,11250
72834,8999
26891,12495
48377,12392
63713,41499
70056,16647
49206,13149
11087,8280
69793,14994
72467,9998
17429,19300
74775,13120
6716,9798
53343,29295
20486,9080
34760,6840
32063,5991
73433,34995
50214,12999
67066,29995
6035,9250
57778,16998
17397,12491
57084,9999
23016,21899
2834,19999
510,18790
27696,24998
73996,4995
39552,16880
50414,6995
62030,16790
9466,14999
26078,10800
51777,29995
34235,14449
26814,23299
3814,16998
5055,11995
57014,9290
61280,12298
58180,18149
19720,7990
62671,30888
5623,15995
22391,22346
43763,22849
58430,15498
59090,15795
70705,23990
28024,10300
65956,14995
56991,25444
30339,6495
42188,29970
48904,15400
33147,8940
33416,9250
35770,7550
54904,7600
19406,11000
15485,15980
47194,19479
67708,18995
44899,12498
12207,15479
61147,19990
38246,11491
39061,7871
44254,15995
48515,10650
22307,25730
71084,19989
75311,16600
27569,11950
19315,26430
26748,19500
28444,12995
40100,3295
60684,16800
33106,24749
11192,13499
71845,11799
49727,21444
44459,12500
66785,37000
27120,19890
587,38000
36853,11500
12842,12290
22117,11498
23791,24990
22123,15890
55713,10498
49745,17890
26954,7500
17809,11200
20392,14119
62303,21999
28115,36650
44292,11700
19183,31609
37877,15165
26678,10450
51053,46212
35612,52004
20536,11995
24673,10480
55196,10390
59247,17500
60658,8975
38382,7000
46988,12898
12412,17450
43720,8998
19518,10999
48585,26995
15463,20225
12418,8390
2900,8200
29960,9000
25438,23499
7009,15495
26942,32000
43305,12750
39647,14795
61375,18995
35882,6299
29811,8850
22694,29000
17245,27990
4498,5976
55305,18290
54109,16498
6780,9695
20526,20990
36015,14999
58222,10850
20213,14990
72809,26495
6928,10980
75533,9998
1596,12700
37249,10830
65209,17495
15259,6298
64978,7499
62820,10999
67886,20888
31547,17950
54346,17299
14094,9899
61158,10998
68892,10950
26609,18995
50479,7990
27679,31500
55870,9750
38624,13985
43339,20000
30081,29995
19428,14699
25656,10995
73680,4940
75124,18295
57969,21995
62711,6790
2452,13490
51255,16775
66741,17480
55526,8291
41560,20449
71574,8994
53235,23990
36979,17250
71793,19500
65944,5821
24817,13498
8152,14599
37887,29950
40288,16444
64210,11495
45404,8950
46808,12495
37896,16690
15336,15995
2069,9990
37021,28750
55701,20480
70693,22490
33289,17320
66164,12950
25498,19990
49268,25080
5108,16792
2288,14750
48222,18299
44317,13995
24505,25780
7321,26399
67670,15965
30927,17495
52885,17499
15907,20490
61437,12599
35540,27995
49057,8295
63644,25000
68401,27995
31158,38289
39,21995
65917,19498
38373,14920
9842,15000
40513,53750
53268,31390
43292,15299
17506,16499
2495,14500
68987,3495
54688,9499
75918,4750
53599,14695
7018,12000
3975,20499
5336,15450
23868,34900
20810,10795
12357,10695
43436,17950
5740,22891
5632,14800
9932,18990
2087,35200
44285,19849
18944,31999
53927,11798
61543,10995
64735,28480
21126,24599
35374,12000
23365,8000
3028,10991
26359,13999
33714,15498
72238,21899
62923,19999
66747,7675
60887,9520
58003,12490
73001,9699
63061,14995
40293,11802
65499,7600
66436,18490
65130,9900
57449,22767
5942,18700
53502,11495
1057,13800
709,40365
37359,11300
22501,28466
4726,13500
28926,18802
34481,11500
20017,11780
39337,11498
19019,13700
28667,29490
24557,25999
56879,14000
74417,15882
72930,20000
6744,23450
56036,7991
73493,35950
36573,12760
42421,12495
45597,42980
20461,24400
11748,6299
51157,3695
60151,19182
35687,17491
6946,9995
52629,47999
58288,13940
66224,15495
60933,28999
2296,12200
33510,9695
42802,9695
12255,19700
15404,15500
43559,14299
46756,16790
63404,30230
65999,8682
63237,5995
48054,14493
73144,13499
63748,19400
15537,9495
4200,11591
56319,10995
14941,26480
7494,18000
33820,27998
71303,10000
4866,8650
41776,18695
29899,9995
66513,17900
18008,18390
3881,13970
46067,3795
54337,12450
41620,15065
73724,14500
55137,4399
71288,58940
578,14450
49324,18495
13227,25780
73761,13999
41213,14950
4855,49480
68524,18045
19599,25990
12553,19250
48185,16295
39921,18498
70972,20500
36617,8980
28112,22000
52258,19445
10309,8000
2051,10998
26646,29676
28835,13699
52941,10510
71678,14640
61175,9195
10003,10799
61739,20899
10722,29949
57115,20000
64019,15780
7333,9495
61475,19971
42807,13990
75296,16990
32340,19798
37376,34491
56196,9998
45686,31950
59112,13770
20559,7298
74042,11200
38824,51995
14405,16890
35912,5998
16731,15495
65741,25650
28212,35998
16951,8995
6055,24250
60949,9000
22006,19300
22102,8975
25822,33980
72424,17800
55311,19489
10233,15995
56661,17995
22519,19549
20606,7290
36778,10500
25264,6695
68354,14989
11790,7995
71996,22489
58257,13498
58873,10495
40530,16499
56830,57295
39170,29990
63290,17880
48708,17482
36408,14999
40728,25000
17753,9749
